Opportunity_Rec_ID__c,AccountId,Contact__c,Site_Address_Billing_Address__c,Site_Address_Shipping_Address__c,Name,Probability,CreatedDate,CloseDate,Stage_RecID,StageName,Account_Executive__c,AE_Member_RecID,Strategic_Consultant__c,SC_Member_RecID,OwnerId,Location_RecID,Location__c,Department__c,Solution_Engineer_1__c,Solution_Engineer_2__c,Non_Recurring__c,Amount,Full_Agreement_Term__c,MRR_Delta__c,Sell_Quote__c,Sell_Quote_EXP_Date__c,pricebook2id,product2id
756,19405,1434,1143,1143,Shintec FIber Connect Project,0,2/27/2014,3/21/2014,16,Order Porter Approved,Elmer Mosbey,173,Richard Remels,230,173,30,Meriplex Communications ,Non-Recurring Revenue,,,,,,,,,01sDn0000013Ye9IAE,01tDn0000074PjWIAU
772,31160,11407,12905,12905,Service Corporation International - closet clean u,20,3/3/2014,5/14/2014,3,Closing,Donece Berry,169,Sam Proffitt,231,169,30,Meriplex Communications ,Non-Recurring Revenue,,,,,,,,,01sDn0000013Ye9IAE,01tDn0000074PjWIAU
778,58429,39064,40173,40173,MRC - Kent WA,0,3/3/2014,3/5/2014,16,Order Porter Approved,Scott Turner,205,David Henley,163,205,30,Meriplex Communications ,Non-Recurring Revenue,,,,,,,,,01sDn0000013Ye9IAE,01tDn0000074PjWIAU
788,58429,39034,40173,40173,MRC_Meriplex Solutions_Total Care SaaS,20,3/4/2014,8/31/2014,3,Closing,Scott Turner,205,Mark Taylor,194,205,11,Meriplex Solutions,Non-Recurring Revenue,,,,,,,,,01sDn0000013Ye9IAE,01tDn0000074PjWIAU
789,58429,39034,40173,40173,NRC_Meriplex Solutions_Total Care Administrator,20,3/4/2014,8/31/2014,3,Closing,Scott Turner,205,Mark Taylor,194,205,11,Meriplex Solutions,Non-Recurring Revenue,,,,,,,,,01sDn0000013Ye9IAE,01tDn0000074PjWIAU
795,59180,45655,40924,40924,MRC- MCS3,0,3/5/2014,5/30/2014,16,Order Porter Approved,Scott Turner,205,David Henley,163,205,30,Meriplex Communications ,Monthly Recurring Revenue,,,,,,,,,01sDn0000013Ye9IAE,01tDn0000074PjWIAU
800,19419,1819,1158,1158,Noble Energy Additional VDC,0,3/6/2014,4/30/2014,14,Negotiating,Elmer Mosbey,173,Richard Remels,230,173,30,Meriplex Communications ,Non-Recurring Revenue,,,,,,,,,01sDn0000013Ye9IAE,01tDn0000074PjWIAU
807,19419,1819,1158,1158,Noble Energy-Platteville-Wireless Upgrade,0,3/7/2014,3/21/2014,16,Order Porter Approved,Elmer Mosbey,173,Wesley Straw,212,173,30,Meriplex Communications ,Non-Recurring Revenue,,,,,,,,,01sDn0000013Ye9IAE,01tDn0000074PjWIAU
811,19419,1819,1158,1158,Noble Energy-Malabo-Cisco 2960s Switches,0,3/7/2014,3/7/2014,16,Order Porter Approved,Elmer Mosbey,173,Kenneth Crisp,253,173,30,Meriplex Communications ,Non-Recurring Revenue,,,,,,,,,01sDn0000013Ye9IAE,01tDn0000074PjWIAU
814,19419,1819,1158,1158,Noble Energy Creely IPT Expansion,0,3/10/2014,3/21/2014,16,Order Porter Approved,Elmer Mosbey,173,Richard Remels,230,173,30,Meriplex Communications ,Non-Recurring Revenue,,,,,,,,,01sDn0000013Ye9IAE,01tDn0000074PjWIAU
